gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000284668.1	0	0	0	0	0	0
ENSG00000284703.1	0	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0
ENSG00000196581.10	0	0	1	0	0	0
ENSG00000284739.1	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0
ENSG00000131697.17	902	853	961	947	1006	801
ENSG00000069424.14	1140	1096	1221	1251	1087	1075
ENSG00000116254.17	122	156	166	150	178	160
ENSG00000285629.1	0	0	0	0	0	0
ENSG00000116251.10	4201	3775	4159	4440	4591	3699
ENSG00000226944.1	39	45	28	46	48	31
ENSG00000158286.12	2073	2212	2075	2034	2260	2162
ENSG00000116237.15	8858	8105	9135	10157	8851	7975
ENSG00000225077.3	113	90	75	93	88	69
ENSG00000173673.7	0	0	0	0	0	0
ENSG00000158292.6	232	190	191	246	219	162
ENSG00000097021.19	2390	2812	2960	2766	2715	2575
ENSG00000271746.1	3	1	3	3	2	3
ENSG00000069812.11	110	99	105	107	119	128
ENSG00000187017.16	11	10	10	14	7	8
ENSG00000265392.1	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0
ENSG00000215788.10	286	219	255	290	307	211
ENSG00000171680.21	624	483	570	621	689	522
ENSG00000162408.10	1128	1212	1032	1182	1182	1097
ENSG00000253022.1	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	1	0
ENSG00000173662.20	3	1	0	0	2	0
ENSG00000204859.12	624	529	649	674	634	640
ENSG00000162413.16	1760	1665	1728	1847	1869	1607
ENSG00000116273.5	1469	1260	1450	1630	1656	1233
ENSG00000041988.15	542	592	591	647	530	609
ENSG00000007923.15	4247	4609	4843	4820	5004	4492
ENSG00000228750.6	0	0	0	0	0	1
ENSG00000284744.1	0	0	0	0	0	0
ENSG00000237436.1	12	10	10	21	13	10
ENSG00000171735.18	1477	1234	1412	1611	1630	1162
ENSG00000227950.1	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0
ENSG00000237402.1	2	0	0	1	0	2
ENSG00000237728.2	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	1
ENSG00000269978.1	2	0	1	2	0	0
ENSG00000049245.12	5065	4997	5397	5567	5500	4563
ENSG00000269925.1	18	15	22	14	17	21
ENSG00000049246.14	326	264	285	322	285	237
ENSG00000236266.1	0	0	0	0	0	0
ENSG00000049247.13	0	1	0	0	1	1
ENSG00000049249.8	135	234	109	117	114	247
ENSG00000270330.1	0	0	0	0	0	0
ENSG00000116288.12	11462	11332	12380	12617	12561	11489
ENSG00000200344.1	0	0	0	0	0	0
ENSG00000284747.1	60	71	52	28	46	61
ENSG00000284716.1	0	2	1	0	1	2
ENSG00000116285.12	5055	5715	10174	6552	10026	7940
ENSG00000238290.1	18	13	46	6	28	20
ENSG00000232848.1	0	2	0	2	1	1
ENSG00000229305.1	1	0	0	0	0	0
ENSG00000227634.2	2	1	3	4	6	5
ENSG00000200975.1	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0
ENSG00000162426.14	171	156	164	148	162	142
ENSG00000252254.1	3	0	0	0	1	0
ENSG00000142599.17	3631	3059	3969	4154	4193	2857
ENSG00000232912.5	3	2	0	2	0	0
ENSG00000221083.1	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0
ENSG00000234619.1	5	2	0	0	1	1
ENSG00000224315.2	2	1	0	0	2	1
ENSG00000222511.2	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0
ENSG00000228423.2	1	0	0	0	0	0
ENSG00000229716.2	0	0	0	0	0	0
ENSG00000074800.15	169776	169964	184650	191044	177275	162953
ENSG00000274258.1	1	2	1	2	5	0
ENSG00000230679.1	11	10	19	7	12	12
ENSG00000201725.1	0	0	0	0	0	0
ENSG00000238249.2	10	16	17	35	21	16
ENSG00000232208.2	34	38	32	43	37	44
ENSG00000232663.2	0	0	0	0	0	0
ENSG00000131686.14	0	0	1	0	0	0
ENSG00000265141.2	0	0	0	0	0	0
ENSG00000197241.3	3	7	1	3	5	2
ENSG00000142583.17	27	7	27	35	22	17
ENSG00000252404.1	0	0	0	0	0	0
ENSG00000180758.11	627	623	680	734	696	628
ENSG00000228526.7	1394	961	1168	1204	1261	893
ENSG00000284357.1	0	0	0	0	0	0
ENSG00000234546.3	78	71	91	67	80	69
ENSG00000049239.12	2163	1640	2147	2280	2926	1659
ENSG00000171621.13	2602	1772	2103	2454	2574	1764
ENSG00000284652.1	1	1	1	1	2	0
ENSG00000284693.1	17	13	18	17	27	9
ENSG00000252956.1	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0
ENSG00000171612.6	355	353	351	387	317	348
ENSG00000231181.1	4	10	12	4	9	8
ENSG00000188807.12	1258	1247	1330	1466	1183	1256
ENSG00000171608.15	653	698	650	751	693	708
ENSG00000179840.5	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0
ENSG00000231789.2	147	98	152	153	146	122
ENSG00000171603.17	9079	8147	9199	9860	9940	8037
ENSG00000271264.1	0	0	0	0	0	0
ENSG00000280113.2	0	0	0	0	0	0
ENSG00000178585.14	381	309	392	383	435	289
ENSG00000223989.1	0	0	0	0	0	0
ENSG00000285701.1	0	0	0	0	0	0
ENSG00000162441.11	1515	1623	1624	1666	1660	1427
ENSG00000228150.1	4	4	2	3	3	7
ENSG00000173614.13	394	359	442	408	384	346
ENSG00000202415.1	5	5	5	6	3	7
ENSG00000283611.2	0	0	0	0	0	0
ENSG00000265521.1	0	0	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0
ENSG00000162444.11	63	74	72	80	65	58
ENSG00000130939.18	2731	2699	2986	3205	2945	2577
ENSG00000224340.1	0	1	0	0	0	0
ENSG00000233623.2	0	1	1	0	0	2
ENSG00000201746.1	1	0	1	1	1	0
ENSG00000054523.17	2902	3485	3266	3436	3524	3121
ENSG00000264881.1	0	0	0	0	0	0
ENSG00000199562.1	2	1	1	2	0	0
ENSG00000264501.2	0	0	0	0	0	0
ENSG00000284735.1	8	7	10	20	12	8
ENSG00000284642.1	2	3	5	6	5	1
ENSG00000142657.20	97697	84975	108770	110679	103351	84136
ENSG00000271989.1	7	11	8	7	15	12
ENSG00000251503.8	0	0	0	0	0	0
ENSG00000175279.21	62	43	54	74	70	55
ENSG00000241563.3	2	3	1	0	4	3
ENSG00000160049.11	4584	4895	5325	5481	4873	4605
ENSG00000203469.2	2	2	0	3	7	2
ENSG00000142655.12	1005	972	1207	1262	1155	1073
ENSG00000243267.3	0	0	0	2	0	1
ENSG00000130940.14	206	196	230	228	227	206
ENSG00000272078.1	0	0	0	0	0	1
ENSG00000225158.2	0	0	0	0	0	0
ENSG00000175262.14	0	1	0	0	0	0
ENSG00000215785.2	0	0	0	0	0	1
ENSG00000120948.17	6180	6306	6890	7439	6959	6489
ENSG00000277726.4	0	0	0	0	0	0
ENSG00000009724.16	29	14	10	9	16	15
ENSG00000271895.2	13	17	16	19	19	17
ENSG00000116649.9	3768	4109	4201	4116	3974	4047
ENSG00000171824.13	4042	4465	4403	4538	4264	3821
ENSG00000226849.1	10	7	16	9	15	11
ENSG00000230337.1	23	24	23	25	30	17
ENSG00000198793.12	3741	3885	3825	4124	4180	3597
ENSG00000225602.5	0	0	1	0	1	0
ENSG00000253086.1	0	0	0	0	0	0
ENSG00000171819.4	0	0	0	0	0	0
ENSG00000207451.1	0	0	0	0	0	0
ENSG00000238173.1	1	0	0	0	0	0
ENSG00000120942.13	1229	1337	1296	1279	1375	1306
ENSG00000238199.1	0	1	0	0	0	0
ENSG00000284646.1	0	2	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0
ENSG00000204624.7	17	10	11	14	10	6
ENSG00000285833.1	0	0	0	0	0	0
ENSG00000235643.1	2	2	2	3	1	1
ENSG00000284708.1	0	0	0	0	0	0
ENSG00000116661.10	2056	846	1250	1900	1029	932
ENSG00000132879.13	1739	1273	1612	1824	1530	1329
ENSG00000116663.10	292	250	296	311	250	308
ENSG00000116670.14	1158	1113	1296	1246	1266	1082
ENSG00000162490.6	7	22	9	3	12	17
ENSG00000177674.15	2104	2123	2292	2330	2308	2044
ENSG00000215910.7	0	1	0	1	2	1
ENSG00000177553.6	0	0	0	0	0	0
ENSG00000177000.12	1030	765	1090	1154	1165	850
ENSG00000011021.22	1526	1069	1449	1676	1538	995
ENSG00000276470.1	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0
ENSG00000175206.10	0	0	0	0	0	0
ENSG00000275915.1	0	0	0	0	0	0
ENSG00000120937.8	1	4	1	6	0	3
ENSG00000224904.1	0	0	0	1	1	0
ENSG00000285646.1	1	0	1	0	3	0
ENSG00000199347.1	0	0	0	0	0	0
ENSG00000201801.1	0	1	0	0	0	0
ENSG00000116685.15	1905	1835	2008	2120	1901	1837
ENSG00000083444.16	7015	6686	7437	7661	7539	6661
ENSG00000116688.16	5878	6032	6635	6713	6319	6010
ENSG00000270914.1	0	0	1	0	0	0
ENSG00000116691.10	684	521	735	783	687	573
ENSG00000202461.1	0	0	0	0	0	0
ENSG00000276869.1	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0	0
ENSG00000120949.14	1	5	6	2	3	6
ENSG00000201135.1	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0
ENSG00000028137.18	8	7	9	8	12	6
ENSG00000263676.1	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0
ENSG00000048707.15	1705	1845	1607	1691	2122	1688
ENSG00000239149.1	1	1	3	6	4	3
ENSG00000229484.1	2	1	2	0	1	0
ENSG00000162496.8	4875	3467	3978	4282	5078	3623
ENSG00000221340.1	10	20	11	14	18	12
ENSG00000276830.1	8	7	8	8	3	6
ENSG00000272482.1	113	85	80	117	137	91
ENSG00000204518.2	0	1	0	0	0	0
ENSG00000226166.2	0	0	0	0	0	0
ENSG00000188984.11	0	0	0	0	0	0
ENSG00000157330.9	0	0	0	0	0	0
ENSG00000116726.4	2	2	2	0	0	1
ENSG00000116721.9	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	0
ENSG00000231103.2	0	0	0	0	0	0
ENSG00000179172.9	0	0	0	0	0	0
ENSG00000120952.4	0	0	0	0	1	0
ENSG00000243073.3	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0	0
ENSG00000277058.2	0	0	0	0	0	0
ENSG00000229571.7	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0
ENSG00000275774.2	0	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0
ENSG00000179412.10	0	0	0	0	0	0
ENSG00000204505.4	0	0	0	0	0	0
ENSG00000279169.2	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0
ENSG00000182330.10	0	1	0	0	0	0
ENSG00000237700.2	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0
ENSG00000204481.7	0	0	0	0	0	0
ENSG00000204480.8	0	0	0	0	1	0
ENSG00000204479.4	0	0	0	0	0	0
ENSG00000204478.9	0	0	1	0	0	0
ENSG00000162494.5	0	0	0	0	0	0
ENSG00000259961.1	0	0	0	0	0	0
ENSG00000215909.3	0	0	0	0	0	0
ENSG00000162493.16	0	0	0	0	0	0
ENSG00000222952.1	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0
ENSG00000116731.22	1465	1546	1567	1683	1749	1493
ENSG00000189337.16	234	327	290	301	295	285
ENSG00000252151.1	0	0	0	0	0	0
ENSG00000231606.1	0	0	0	0	0	0
ENSG00000234593.2	0	0	0	0	0	0
ENSG00000235829.1	0	0	0	0	0	0
ENSG00000175147.12	137	115	102	114	129	118
ENSG00000171729.13	1730	1533	1702	1795	1582	1649
ENSG00000204464.7	0	0	1	0	0	1
ENSG00000215720.4	0	0	0	0	0	0
ENSG00000278480.1	4	7	7	11	4	8
ENSG00000142621.19	50	58	57	61	75	55
ENSG00000233485.1	0	0	0	0	0	0
ENSG00000236045.1	1	0	0	2	0	0
ENSG00000228140.1	33	29	27	30	29	30
ENSG00000142634.12	9604	11629	10188	9641	10371	11730
ENSG00000162438.11	12	8	6	13	7	6
ENSG00000142615.7	0	0	0	0	1	0
ENSG00000215704.9	0	0	1	2	1	0
ENSG00000132906.17	781	822	816	751	816	788
ENSG00000116138.12	987	1046	1074	1059	1083	957
ENSG00000251866.1	0	1	0	2	1	1
ENSG00000272510.1	0	8	5	3	8	1
ENSG00000116771.5	1149	1272	1336	1424	1204	1186
ENSG00000237301.1	11	6	10	8	10	4
ENSG00000235084.3	29	16	15	19	38	17
ENSG00000252417.1	0	0	0	0	0	0
ENSG00000236500.1	0	0	0	0	0	0
ENSG00000197312.11	1813	2313	2195	2263	2354	2232
ENSG00000215695.1	0	0	0	0	0	0
ENSG00000271742.1	0	0	0	0	0	0
ENSG00000116786.12	2935	2764	3369	3448	3114	2728
ENSG00000237938.5	0	0	0	0	0	0
ENSG00000162461.7	35	29	43	32	44	25
ENSG00000224459.1	1	1	1	0	1	0
ENSG00000162460.6	0	1	0	0	0	0
ENSG00000162458.12	3476	3057	3140	3844	3166	3139
ENSG00000224321.1	1	2	1	1	3	0
ENSG00000233954.6	103	62	75	85	86	50
ENSG00000178715.8	142	44	54	64	131	44
ENSG00000179743.4	186	185	161	186	234	125
ENSG00000065526.10	3579	5327	3899	4553	4481	4603
ENSG00000270620.1	0	0	0	0	0	0
ENSG00000116809.11	1168	967	1056	1197	1080	969
ENSG00000234607.2	0	0	0	0	0	0
ENSG00000231353.1	0	0	0	0	0	0
ENSG00000275503.1	0	0	0	0	0	0
ENSG00000224966.4	0	0	0	0	0	0
ENSG00000183888.4	4	1	3	2	0	2
ENSG00000233078.1	0	0	0	0	0	0
ENSG00000173641.17	0	1	1	1	0	0
ENSG00000186510.11	5	6	3	5	3	1
ENSG00000232456.1	12	13	11	18	14	10
ENSG00000184908.17	9	9	7	9	7	8
ENSG00000185519.8	239	229	255	281	225	207
ENSG00000142627.12	13385	12778	11551	14702	10150	12764
ENSG00000227959.1	15	5	13	7	17	16
ENSG00000224621.1	10	6	3	5	3	7
ENSG00000234166.1	0	0	0	0	1	0
ENSG00000142632.16	569	498	511	590	569	489
ENSG00000237276.8	58	41	30	48	49	39
ENSG00000132881.11	123	148	174	188	162	170
ENSG00000233929.1	6	3	3	4	4	2
ENSG00000037637.10	1150	1071	1208	1236	1194	987
ENSG00000055070.16	10375	10466	10922	11613	11440	10360
ENSG00000226457.1	67	12	13	14	57	13
ENSG00000187144.11	16	23	21	20	35	24
ENSG00000157191.19	1854	1931	2105	2134	2101	1878
ENSG00000226029.1	6	11	9	5	12	11
ENSG00000080947.14	159	171	176	204	184	145
ENSG00000206652.1	0	0	0	0	0	1
ENSG00000261135.1	9	7	6	6	11	7
ENSG00000285853.1	0	0	1	1	0	0
ENSG00000224174.2	0	0	0	0	0	0
ENSG00000233421.4	3	1	2	2	3	3
ENSG00000277344.1	0	0	0	0	0	0
ENSG00000225710.1	0	0	0	0	0	0
ENSG00000219481.10	2264	2268	2274	2507	2511	2181
ENSG00000271732.1	0	0	0	0	0	0
ENSG00000215908.10	1535	1385	1619	1596	1678	1417
ENSG00000283773.1	0	0	0	0	0	0
ENSG00000186301.8	128	81	130	138	140	90
ENSG00000282143.1	0	0	0	0	0	0
ENSG00000207513.1	0	0	0	0	0	0
ENSG00000280114.1	1	1	0	0	0	0
ENSG00000236698.1	274	178	234	227	297	220
ENSG00000268869.5	1	0	1	0	0	0
ENSG00000279151.1	0	0	0	0	0	0
ENSG00000282740.1	0	0	0	0	0	0
ENSG00000058453.16	840	605	751	818	950	621
ENSG00000227684.2	0	0	0	0	0	0
ENSG00000207389.1	0	0	0	0	0	0
ENSG00000186715.11	17	5	19	14	14	16
